LUN,,MAR,MAR 3/05,MER,MER 4/05,JEU,JEU 5/05,VEN,VEN 6/05,SAM,SAM 7/05,DIM,DIM 8/05
,,,,,,,,,,,,,
21 H 10,Ciné lundi,21 H 10,90' Enquêtes,21 H 10,Les reportages de Martin Weill,21 H 10,Ciné Jeudi,21 H 10,Divertissement,21 H 10,Camping Paradis,21 H 10,Ciné Dimanche
21 H 55,Ciné lundi,21 H 55,90' Enquêtes,21 H 55,Les reportages de Martin Weill,21 H 55,Ciné Jeudi,21 H 55,Divertissement,21 H 55,Camping Paradis,21 H 55,Ciné Dimanche
22 H 45,Quotidien,22 H 45,Quotidien,22 H 45,Quotidien,22 H 45,Quotidien,22 H 45,Quotidien,22 H 45,Le mur du quotidien,22 H 45,Le mur du quotidien
,,,,,,,,,,,,,
,rediffusion ,,,,,,,,,,,,
